Key,en,es,ar
Dashboard,Dashboard,Panel,لوحة القيادة
Language,Language,Idioma,لغة
Information,Information,Información,معلومة
Language Information,Language Information,Información del idioma,معلومات اللغة
Language Manager,Language Manager,Administrador de idiomas,مدير اللغة
Home,Home,Hogar,بيت
Basic settings fetch successfully!,Basic settings fetch successfully!,¡Configuración básica obtiene con éxito!,جلب الإعدادات الأساسية بنجاح!
Access denied! Unauthenticated,Access denied! Unauthenticated,¡Acceso denegado! No autenticado,تم الرفض! غير مصدق
Verification code sent successfully to your mail. Please check your mail inbox/spam to verify,Verification code sent successfully to your mail. Please check your mail inbox/spam to verify,Código de verificación enviado correctamente a su correo. Consulte su bandeja de entrada/spam de correo para verificar,تم إرسال رمز التحقق بنجاح إلى بريدك. يرجى التحقق من البريد الوارد/البريد العشوائي للتحقق
Successfully resend verification code!,Successfully resend verification code!,¡Reenviar al código de verificación con éxito!,إعادة تقديم رمز التحقق بنجاح!
Invalid OTP. Please try again,Invalid OTP. Please try again,OTP inválido. Inténtalo de nuevo,OTP غير صالح. حاول مرة اخرى
Session expired. Please try again,Session expired. Please try again,Sesión expirada. Inténtalo de nuevo,انتهت الجلسة. حاول مرة اخرى
Account successfully verified,Account successfully verified,Cuenta verificada con éxito,تم التحقق من الحساب بنجاح
You are already KYC Verified User,You are already KYC Verified User,Ya eres usuario verificado de KYC,أنت بالفعل مستخدم تم التحقق منه KYC
Your KYC information is submitted. Please wait for admin confirmation,Your KYC information is submitted. Please wait for admin confirmation,Se envía su información de KYC. Espere la confirmación del administrador,يتم تقديم معلومات KYC الخاصة بك. يرجى انتظار تأكيد المسؤول
User KYC section is under maintenance,User KYC section is under maintenance,La sección de usuarios de KYC está en mantenimiento,قسم المستخدم KYC قيد الصيانة
User KYC input fields fetch successfully!,User KYC input fields fetch successfully!,¡Los campos de entrada de KYC de usuario obtienen con éxito!,حقول إدخال المستخدم KYC يجلبون بنجاح!
KYC information successfully submitted,KYC information successfully submitted,La información de KYC presentó con éxito,تم تقديم معلومات KYC بنجاح
Your account secure with Google 2FA,Your account secure with Google 2FA,Su cuenta segura con Google 2FA,حسابك آمن مع Google 2FA
To enable two-factor authentication (powered by Google) please visit your web dashboard. Click here:,To enable two-factor authentication (powered by Google) please visit your web dashboard. Click here:,"Para habilitar la autenticación de dos factores (alimentado por Google), visite su tablero web. Haga clic aquí:",لتمكين المصادقة ثنائية العوامل (مدعوم من Google) ، يرجى زيارة لوحة معلومات الويب الخاصة بك. انقر هنا:
Request response fetch successfully!,Request response fetch successfully!,¡Solicite la respuesta de respuesta con éxito!,طلب استجابة جلب بنجاح!
Your secret key not stored properly. Please contact the system administrator,Your secret key not stored properly. Please contact the system administrator,"Su llave secreta no se almacena correctamente. Por favor, póngase en contacto con el administrador del sistema",مفتاحك السري لم يتم تخزينه بشكل صحيح. يرجى الاتصال بمسؤول النظام
Google 2FA successfully verified!,Google 2FA successfully verified!,Google 2FA Verificado con éxito!,تم التحقق من Google 2FA بنجاح!
Invalid authentication code,Invalid authentication code,Código de autenticación no válido,رمز المصادقة غير صالح
Failed to log in. Please try again,Failed to log in. Please try again,No se pudo iniciar sesión. Vuelva a intentarlo,فشل في تسجيل الدخول. يرجى المحاولة مرة أخرى
User doesn't exist,User doesn't exist,El usuario no existe,المستخدم غير موجود
Your account is temporarily banned. Please contact the system admin,Your account is temporarily banned. Please contact the system admin,Su cuenta está prohibida temporalmente. Póngase en contacto con el administrador del sistema,حسابك محظور مؤقتًا. يرجى الاتصال بمسؤول النظام
Code sent to your email address!,Code sent to your email address!,¡Código enviado a su dirección de correo electrónico!,تم إرسال الرمز إلى عنوان بريدك الإلكتروني!
Verification OTP is invalid,Verification OTP is invalid,La verificación OTP no es válida,التحقق من OTP غير صالح
OTP successfully verified!,OTP successfully verified!,OTP verificado con éxito!,تم التحقق من OTP بنجاح!
Request token is invalid,Request token is invalid,El token de solicitud no es válido,الرمز المميز غير صالح
OTP resend success,OTP resend success,OTP Resen éxito,OTP إعادة تقديم النجاح
Password reset success,Password reset success,El éxito de restablecimiento de contraseña,إعادة تعيين كلمة المرور النجاح
Credentials didn't match,Credentials didn't match,Las credenciales no coincidían,لا تتطابق بيانات الاعتماد
Login failed! Failed to refresh wallet! Please try again,Login failed! Failed to refresh wallet! Please try again,¡Error de inicio de sesion! ¡No se pudo actualizar la billetera! Inténtalo de nuevo,فشل تسجيل الدخول! فشل في تحديث المحفظة! حاول مرة اخرى
Logged in,Logged in,Conectado,تسجيل الدخول
Registration failed! Please try again,Registration failed! Please try again,¡Registro fallido! Inténtalo de nuevo,فشل في التسجيل! حاول مرة اخرى
Failed to fetch user information. Please try again,Failed to fetch user information. Please try again,No se pudo obtener información del usuario. Inténtalo de nuevo,فشل في جلب معلومات المستخدم. حاول مرة اخرى
Failed to generate user token! Please try again,Failed to generate user token! Please try again,¡No se pudo generar token de usuario! Inténtalo de nuevo,فشل في إنشاء رمز المستخدم! حاول مرة اخرى
